base ; 1 ; No Fruit Bits ; ice_cream ; na ; 100 ; Who even likes them? 
group ; 1 ;  ; burgers ; milkshakes ; 250 ; He burnt my patty. He burnt my fries... He burnt my shake.
group ; 1 ;  ; ice_cream ; milkshakes ; 150 ; 
group ; 1 ;  ; sushi ; sushi ; 400 ; 
group ; 1 ;  ; sushi ; fried_fish ; 350 ; 
group ; 1 ;  ; sushi ; soup ; 400 ; 
group ; 1 ;  ; cake ; hot_cocoa ; 300 ; 
group ; 1 ;  ; tacos ; fried_fish ; 300 ; 
group ; 1 ;  ; soda ; all ; 200 ; 
group ; 1 ;  ; apples ; all ; 100 ; 
group ; 1 ;  ; milk ; all ; 200 ; 
#group ; 1 ;  ;  ;  ; 0 ; 
#
spin ; 1 ;  ; na ; na ; 100 ; 
spin ; 1 ;  ; na ; na ; 100 ; 
spin ; 1 ;  ; na ; na ; 100 ; 
spin ; 1 ;  ; na ; na ; 100 ;  
